54 61	41	# Ta => A
54 62	42	# Tb => B
54 63	43	# Tc => C
54 64	44	# Td => D
54 65	45	# Te => E
54 66	46	# Tf => F
54 67	47	# Tg => G
54 68	48	# Th => H
54 69	49	# Ti => I
54 6A	4A	# Tj => J
54 6B	4B	# Tk => K
54 6C	4C	# Tl => L
54 6D	4D	# Tm => M
54 6E	4E	# Tn => N
54 6F	4F	# To => O
54 70	50	# Tp => P
54 71	51	# Tq => Q
54 72	52	# Tr => R
54 73	53	# Ts => S
54 74	54	# Tt => T
54 75	55	# Tu => U
54 76	56	# Tv => V
54 77	57	# Tw => W
54 78	58	# Tx => X
54 79	59	# Ty => Y
54 7A	5A	# Tz => Z
54 DF	1E9E	# Tß => ẞ
54 E0	C0	# Tà => À
54 E1	C1	# Tá => Á
54 E2	C2	# Tâ => Â
54 E3	C3	# Tã => Ã
54 E4	C4	# Tä => Ä
54 E5	C5	# Tå => Å
54 E6	C6	# Tæ => Æ
54 E7	C7	# Tç => Ç
54 E8	C8	# Tè => È
54 E9	C9	# Té => É
54 EA	CA	# Tê => Ê
54 EB	CB	# Të => Ë
54 EC	CC	# Tì => Ì
54 ED	CD	# Tí => Í
54 EE	CE	# Tî => Î
54 EF	CF	# Tï => Ï
54 F0	D0	# Tð => Ð
54 F1	D1	# Tñ => Ñ
54 F2	D2	# Tò => Ò
54 F3	D3	# Tó => Ó
54 F4	D4	# Tô => Ô
54 F5	D5	# Tõ => Õ
54 F6	D6	# Tö => Ö
54 F8	D8	# Tø => Ø
54 F9	D9	# Tù => Ù
54 FA	DA	# Tú => Ú
54 FB	DB	# Tû => Û
54 FC	DC	# Tü => Ü
54 FD	DD	# Tý => Ý
54 FE	DE	# Tþ => Þ
54 FF	178	# Tÿ => Ÿ
54 101	100	# Tā => Ā
54 103	102	# Tă => Ă
54 105	104	# Tą => Ą
54 107	106	# Tć => Ć
54 109	108	# Tĉ => Ĉ
54 10B	10A	# Tċ => Ċ
54 10D	10C	# Tč => Č
54 10F	10E	# Tď => Ď
54 111	110	# Tđ => Đ
54 113	112	# Tē => Ē
54 115	114	# Tĕ => Ĕ
54 117	116	# Tė => Ė
54 119	118	# Tę => Ę
54 11B	11A	# Tě => Ě
54 11D	11C	# Tĝ => Ĝ
54 11F	11E	# Tğ => Ğ
54 121	120	# Tġ => Ġ
54 123	122	# Tģ => Ģ
54 125	124	# Tĥ => Ĥ
54 127	126	# Tħ => Ħ
54 129	128	# Tĩ => Ĩ
54 12B	12A	# Tī => Ī
54 12D	12C	# Tĭ => Ĭ
54 12F	12E	# Tį => Į
54 133	132	# Tĳ => Ĳ
54 135	134	# Tĵ => Ĵ
54 137	136	# Tķ => Ķ
54 13A	139	# Tĺ => Ĺ
54 13C	13B	# Tļ => Ļ
54 13E	13D	# Tľ => Ľ
54 140	13F	# Tŀ => Ŀ
54 142	141	# Tł => Ł
54 144	143	# Tń => Ń
54 146	145	# Tņ => Ņ
54 148	147	# Tň => Ň
54 14B	14A	# Tŋ => Ŋ
54 14D	14C	# Tō => Ō
54 14F	14E	# Tŏ => Ŏ
54 151	150	# Tő => Ő
54 153	152	# Tœ => Œ
54 155	154	# Tŕ => Ŕ
54 157	156	# Tŗ => Ŗ
54 159	158	# Tř => Ř
54 15B	15A	# Tś => Ś
54 15D	15C	# Tŝ => Ŝ
54 15F	15E	# Tş => Ş
54 161	160	# Tš => Š
54 163	162	# Tţ => Ţ
54 165	164	# Tť => Ť
54 167	166	# Tŧ => Ŧ
54 169	168	# Tũ => Ũ
54 16B	16A	# Tū => Ū
54 16D	16C	# Tŭ => Ŭ
54 16F	16E	# Tů => Ů
54 171	170	# Tű => Ű
54 173	172	# Tų => Ų
54 175	174	# Tŵ => Ŵ
54 177	176	# Tŷ => Ŷ
54 17A	179	# Tź => Ź
54 17C	17B	# Tż => Ż
54 17E	17D	# Tž => Ž
54 180	243	# Tƀ => Ƀ
54 183	182	# Tƃ => Ƃ
54 185	184	# Tƅ => Ƅ
54 188	187	# Tƈ => Ƈ
54 18C	18B	# Tƌ => Ƌ
54 192	191	# Tƒ => Ƒ
54 195	1F6	# Tƕ => Ƕ
54 199	198	# Tƙ => Ƙ
54 19A	23D	# Tƚ => Ƚ
54 19B	A7DC	# Tƛ => Ƛ
54 19E	220	# Tƞ => Ƞ
54 1A1	1A0	# Tơ => Ơ
54 1A3	1A2	# Tƣ => Ƣ
54 1A5	1A4	# Tƥ => Ƥ
54 1A8	1A7	# Tƨ => Ƨ
54 1AD	1AC	# Tƭ => Ƭ
54 1B0	1AF	# Tư => Ư
54 1B4	1B3	# Tƴ => Ƴ
54 1B6	1B5	# Tƶ => Ƶ
54 1B9	1B8	# Tƹ => Ƹ
54 1BD	1BC	# Tƽ => Ƽ
54 1BF	1F7	# Tƿ => Ƿ
54 1C6	1C4	# Tǆ => Ǆ
54 1C9	1C7	# Tǉ => Ǉ
54 1CC	1CA	# Tǌ => Ǌ
