21	50 21	# ! => P!
22	50 22	# " => P"
23	50 23	# # => P#
25	50 25	# % => P%
26	50 26	# & => P&
27	50 27	# ' => P'
28	50 28	# ( => P(
29	50 29	# ) => P)
2A	50 2A	# * => P*
2C	50 2C	# , => P,
2D	50 2D	# - => P-
2E	50 2E	# . => P.
2F	50 2F	# / => P/
3A	50 3A	# : => P:
3B	50 3B	# ; => P;
3F	50 3F	# ? => P?
40	50 40	# @ => P@
41	55 61	# A => Ua
42	55 62	# B => Ub
43	55 63	# C => Uc
44	55 64	# D => Ud
45	55 65	# E => Ue
46	55 66	# F => Uf
47	55 67	# G => Ug
48	55 68	# H => Uh
49	55 69	# I => Ui
4A	55 6A	# J => Uj
4B	55 6B	# K => Uk
4C	55 6C	# L => Ul
4D	55 6D	# M => Um
4E	55 6E	# N => Un
4F	55 6F	# O => Uo
50	55 70	# P => Up
51	55 71	# Q => Uq
52	55 72	# R => Ur
53	55 73	# S => Us
54	55 74	# T => Ut
55	55 75	# U => Uu
56	55 76	# V => Uv
57	55 77	# W => Uw
58	55 78	# X => Ux
59	55 79	# Y => Uy
5A	55 7A	# Z => Uz
5B	50 5B	# [ => P[
5C	50 5C	# \ => P\
5D	50 5D	# ] => P]
5F	50 5F	# _ => P_
7B	50 7B	# { => P{
7D	50 7D	# } => P}
A1	50 A1	# ¡ => P¡
A7	50 A7	# § => P§
AB	50 AB	# « => P«
B6	50 B6	# ¶ => P¶
B7	50 B7	# · => P·
BB	50 BB	# » => P»
BF	50 BF	# ¿ => P¿
C0	55 E0	# À => Uà
C1	55 E1	# Á => Uá
C2	55 E2	# Â => Uâ
C3	55 E3	# Ã => Uã
C4	55 E4	# Ä => Uä
C5	55 E5	# Å => Uå
C6	55 E6	# Æ => Uæ
C7	55 E7	# Ç => Uç
C8	55 E8	# È => Uè
C9	55 E9	# É => Ué
CA	55 EA	# Ê => Uê
CB	55 EB	# Ë => Uë
CC	55 EC	# Ì => Uì
CD	55 ED	# Í => Uí
CE	55 EE	# Î => Uî
CF	55 EF	# Ï => Uï
D0	55 F0	# Ð => Uð
D1	55 F1	# Ñ => Uñ
D2	55 F2	# Ò => Uò
D3	55 F3	# Ó => Uó
D4	55 F4	# Ô => Uô
D5	55 F5	# Õ => Uõ
D6	55 F6	# Ö => Uö
D8	55 F8	# Ø => Uø
D9	55 F9	# Ù => Uù
DA	55 FA	# Ú => Uú
DB	55 FB	# Û => Uû
DC	55 FC	# Ü => Uü
DD	55 FD	# Ý => Uý
DE	55 FE	# Þ => Uþ
100	55 101	# Ā => Uā
102	55 103	# Ă => Uă
104	55 105	# Ą => Uą
106	55 107	# Ć => Uć
108	55 109	# Ĉ => Uĉ
10A	55 10B	# Ċ => Uċ
10C	55 10D	# Č => Uč
10E	55 10F	# Ď => Uď
110	55 111	# Đ => Uđ
112	55 113	# Ē => Uē
114	55 115	# Ĕ => Uĕ
116	55 117	# Ė => Uė
118	55 119	# Ę => Uę
11A	55 11B	# Ě => Uě
